Unnamed: 0,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
4,JEUDI 10 MARS 2022,72,TIRAGE «PRIVILEGE» N°306,38,53,81,84
5,JEUDI 10 MARS 2022,79,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°306,44,33,35,76
6,JEUDI 10 MARS 2022,19,TIRAGE «KADO» N°184,60,30,54,81
7,JEUDI 10 MARS 2022,67,TIRAGE «KADO» NUMEROS MACHINE N°184,3,23,29,78
8,MERCREDI 9 MARS 2022,34,TIRAGE « MID WEEK » N°953,49,8,77,69
9,MERCREDI 9 MARS 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°166,7,4,9,33
10,MERCREDI 9 MARS 2022,2,TIRAGE «BARAKA» N°166,37,14,24,30
11,MERCREDI 9 MARS 2022,46,TIRAGE «FORTUNE» NUMEROS MACHINE N°714,63,86,69,12
0,JEUDI 10 MARS 2022,19,TIRAGE «KADO» N°184,60,30,54,81
1,JEUDI 10 MARS 2022,67,TIRAGE «KADO» NUMEROS MACHINE N°184,3,23,29,78
2,MERCREDI 9 MARS 2022,34,TIRAGE « MID WEEK » N°953,49,8,77,69
3,MERCREDI 9 MARS 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°166,7,4,9,33
4,MERCREDI 9 MARS 2022,2,TIRAGE «BARAKA» N°166,37,14,24,30
5,MERCREDI 9 MARS 2022,46,TIRAGE «FORTUNE» NUMEROS MACHINE N°714,63,86,69,12
6,MERCREDI 9 MARS 2022,5,TIRAGE «FORTUNE» N°714,3,39,15,72
7,MERCREDI 9 MARS 2022,70,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°185,73,30,76,6
8,MERCREDI 9 MARS 2022,63,TIRAGE «PREMIERE HEURE» N°185,21,42,12,28
9,MARDI 8 MARS 2022,69,TIRAGE «SIKA» NUMEROS MACHINE N°166,79,85,10,9
10,MARDI 8 MARS 2022,46,TIRAGE « LUCKY TUESDAY » N°756,40,1,19,38
